,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
1378,120 gr di farina gialla,120 gr di farina gialla,farina gialla,120 gr,farina gialla,farina gialla,68
1379,60 gr di farina bianca,60 gr di farina bianca,farina bianca,60 gr,farina bianca,farina 00,1803
1380,2 lt di brodo,2 lt di brodo,brodo,2 lt,brodo,brodo,215
1381,100 gr di lardo,100 gr di lardo,lardo,100 gr,lardo,lardo,114
1382,200 gr di fagioli borlotti,200 gr di fagioli borlotti,fagioli borlotti,200 gr,fagioli borlotti,fagioli borlotti,47
1383,3 carote,3 carote,carote,3,carote,carote,1077
1384,2 coste sedano,2 coste sedano,sedano,2,sedano,sedano,796
1385,1/2 verza,1/2 verza,verza,1/2,verza,verza,78
1386,2 cotiche di maiale,2 cotiche di maiale,cotiche di maiale,2,cotiche di maiale,cotenna di suino,25
1387,2 croste di grana padano,2 croste di grana padano,grana padano,2,grana padano,grana padano dop,591
1388,20 funghi ovoli grossi,20 funghi ovoli grossi,funghi ovoli,20,funghi,funghi,48
1389,"1/2 bicchiere di olio extra vergine di oliva,","1/2 bicchiere di olio extra vergine di oliva,",olio extra di oliva,1/2 bicchiere vergine,olio,olio extravergine d'oliva,4337
1390,"3 spicchi di aglio,","3 spicchi di aglio,",aglio,3 spicchi,aglio,aglio,2572
1391,1 manciata di origano,1 manciata di origano,origano,1 manciata,origano,origano,397
1392,1 kg di verza,1 kg di verza,verza,1 kg,verza,verza,78
1393,50 gr di pancetta affumicata,50 gr di pancetta affumicata,pancetta affumicata,50 gr,pancetta affumicata,pancetta affumicata,155
1394,4 mele del trentino,4 mele del trentino,mele del trentino,4,mele,mele,204
1395,4 cucchiai di farina,4 cucchiai di farina,farina,4 cucchiai,farina,farina,2121
1396,1/2 bustina di lievito i polvere,1/2 bustina di lievito i polvere,lievito,1/2 bustina,lievito,lievito,994
1397,50 gr. diburro,50 gr. diburro,burro,50 gr,burro,burro,4606
1398,50 gr. di zucchero,50 gr. di zucchero,zucchero,50 gr .,zucchero,zucchero,4949
1399,"1,5 dl di latte","1,5 dl di latte",latte,"1,5 dl",latte,latte,2242
1400,abbondante olio per friggere,abbondante olio,olio,,olio,olio,2191
1401,"1,5 kg di scorzonera","1,5 kg di scorzonera",scorzonera,"1,5 kg",scorzonera,scorzonera,5
1402,salsa piccante a piacere,salsa piccante,salsa piccante,,salsa piccante,salsa piccante,4
1403,1 kg di fave fresche,1 kg di fave fresche,fave,1 kg,fave,fave,103
1404,per la pasta frolla,per la pasta frolla,,,,,
1405,240 gr di farina,240 gr di farina,farina,240 gr,farina,farina,2121
1406,un tuorlo d'uovo,un tuorlo d'uovo,tuorlo d'uovo,un,tuorlo d'uovo,tuorli,1385
1407,per il ripieno,per il ripieno,,,,,
1408,castagne secche,castagne secche,castagne secche,,castagne secche,castagne secche,6
1409,noci,noci,noci,,noci,noci,222
1410,cacao dolce,cacao dolce,cacao dolce,,cacao dolce,cacao dolce,14
1411,caffè in polvere,caffè,caffè,,caffè,caffè,190
1412,marmellata di prugne,marmellata di prugne,marmellata di prugne,,marmellata,marmellata,46
1413,liquore sassolino,liquore sassolino,liquore sassolino,,liquore sassolino,liquore sassolino,6
1414,250 gr di farina di grano saraceno,250 gr di farina di grano saraceno,farina di grano saraceno,250 gr,farina di grano saraceno,farina di grano saraceno,59
1415,200 gr di ricotta di malga salata stagionata,200 gr di ricotta di malga salata stagionata,ricotta di malga,200 gr,ricotta,ricotta,324
1416,2 mele renette,2 mele renette,mele renette,2,mele renette,mele renette,32
1417,100 gr di cren,100 gr di cren,cren,100 gr,cren,cren,5
1418,1 kg di polpetti (o moscardini),1 kg di polpetti,polpetti,1 kg,polpetti,polipetti,6
1419,1-2 limoni,1-2 limoni,limoni,1 - 2,limoni,limone,1394
1420,800 gr di agnello,800 gr di agnello,di agnello,800 gr,dischetti di pasta,di agnello,7
1421,500 gr di cipoliine,500 gr di cipoliine,cipolline,,cipolline,cipolle borettane,103
1422,150 g di fecola di patate,150 g di fecola di patate,fecola di patate,150 g,fecola di patate,fecola di patate,233
1423,450 g di mascarpone,450 g di mascarpone,mascarpone,450 g,mascarpone,mascarpone,213
1424,200 g di uvetta,200 g di uvetta,uvetta,200 g,uvetta,uvetta,220
1425,"1,5 bicchieri di latte","1,5 bicchieri di latte",latte,"1,5 bicchieri",latte,latte,2242
1426,250 g di zucchero a velo,250 g di zucchero,zucchero,250 g,zucchero,zucchero,4949
1427,1 kg di farina bianca,1 kg di farina bianca,farina bianca,1 kg,farina bianca,farina 00,1803
1428,4 cucchiai d'olio extravergine d’oliva,4 cucchiai d'olio extravergine d’oliva,olio extravergine d'oliva,4 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
1429,12 carciofi,12 carciofi,carciofi,12,carciofi,carciofi,222
1430,12 uova,12 uova,uova,12,uova,uova,3872
1431,300 gr ricotta o quagliata,300 gr ricotta,ricotta,300 gr,ricotta,ricotta,324
1432,450 di piselli,450 di piselli,piselli,450,piselli,piselli,302
1433,1 kg di costolette di agnello,1 kg di costolette di agnello,costolette di agnello,1 kg,costolette di agnello,carne di agnello,57
1434,1/2 kg di di farina di ceci,1/2 kg di di farina di ceci,farina di ceci,1/2 kg,farina di ceci,farina di ceci,26
1435,4 costolette di maiale,4 costolette di maiale,costolette di maiale,4,costolette d'agnello,carne di suino,202
1436,400 gr di farfalle,400 gr di farfalle,farfalle,400 gr,farfalle,farfalle,35
1437,150 gr di gherigli di noce,150 gr di gherigli di noce,noce,150 gr,noce,noci,222
1438,50 gr di pinoli,50 gr di pinoli,pinoli,50 gr,pinoli,pinoli,392
1439,150 gr di pomodori,150 gr di pomodori,pomodori,150 gr,pomodori,pomodori,634
1440,50 gr di prescinseua,50 gr di prescinseua,prescinseua,50 gr,prescinseua,prescinseua,2
1441,50 gr di rucola,50 gr di rucola,rucola,50 gr,rucola,rucola,133
1442,50 gr di parmigiano reggiano,50 gr di parmigiano reggiano,parmigiano reggiano,50 gr,parmigiano reggiano,parmigiano reggiano dop,1291
1443,2 fette di pancarrè,2 fette di pancarrè,pancarrè,2 fette,pancarrè,pancarrè,96
1444,400 gr di farina di grano,400 gr di farina di grano,farina di grano,400 gr,farina di grano,farina,2121
1445,200 gr di farina di granoturco,200 gr di farina di granoturco,farina di granoturco,200 gr,farina,farina,2121
1446,1 bicchiere di latte,1 bicchiere di latte,latte,1 bicchiere,latte,latte,2242
1447,pane raffermo bollito,pane raffermo bollito,pane raffermo bollito,,pane,pane raffermo,106
1448,100 gr di riso,100 gr di riso,riso,100 gr,riso,riso,289
1449,200 gr di fichi secchi,200 gr di fichi secchi,fichi secchi,200 gr,fichi secchi,fichi secchi,41
1450,100 gr di uva passa,100 gr di uva passa,uva passa,100 gr,uva passa,uva passa,87
1451,100 gr noci,100 gr noci,noci,100 gr,noci,noci,222
1452,1 mela,1 mela,mela,1,mela,mele,204
1453,buccia di arancio,buccia di arancio,arancio,,arancia,arance,358
1454,"1 lepre da circa 1,2 kg","1 lepre da circa 1,2 kg",lepre,1,lepre,carne di lepre,9
1455,1/2 l di vino rosso,1/2 l di vino rosso,vino rosso,1/2 l,vino rosso,vino rosso,219
1456,1 bicchiere di aceto,1 bicchiere di aceto,aceto,1 bicchiere,aceto,aceto,528
1457,4 foglie di salvia,4 foglie di salvia,salvia,4 foglie,salvia,salvia,484
1458,1 cucchiaino di origano,1 cucchiaino di origano,origano,1 cucchiaino,origano,origano,397
1459,2 kg di zucca,2 kg di zucca,zucca,2 kg,zucca,zucca,226
1460,20 gr di funghi secchi,20 gr di funghi secchi,funghi secchi,20 gr,funghi secchi,funghi secchi,48
1461,600 gr di fesa di vitello,600 gr di fesa di vitello,fesa di vitello,600 gr,fesa di vitello,carne di bovino,492
1462,1 kg di broccoli,1 kg di broccoli,broccoli,1 kg,broccoli,broccoli,95
1463,250 gr di piselli,250 gr di piselli,piselli,250 gr,piselli,piselli,302
1464,100 gr di prosciutto,100 gr di prosciutto,prosciutto,100 gr,prosciutto,prosciutto,22
1465,2 mestoli di brodo,2 mestoli di brodo,brodo,2 mestoli,brodo,brodo,215
1466,2 cucchiai d’olio extravergine di oliva,2 cucchiai d’olio extravergine di oliva,,2 cucchiai,,,
1467,500 gr di funghi misti,500 gr di funghi misti,funghi misti,500 gr,funghi misti,funghi misti,13
1468,300 gr di patate,300 gr di patate,patate,300 gr,patate,patate,1000
1469,80 gr di parmigiano grattugiato,80 gr di parmigiano grattugiato,parmigiano,80 gr,parmigiano,parmigiano reggiano dop,1291
1470,500 ml di latte,500 ml di latte,latte,500 ml,latte,latte,2242
1471,1 cucchiaio di parmigiano,1 cucchiaio di parmigiano,parmigiano,1 cucchiaio,parmigiano,parmigiano reggiano dop,1291
1472,1 cucchiaio di pecorino non piccante,1 cucchiaio di pecorino,pecorino,1 cucchiaio,pecorino,pecorino,519
1473,3 cucchiai di zucchero,3 cucchiai di zucchero,zucchero,3 cucchiai,zucchero,zucchero,4949
1474,zucchero vanigliato,zucchero vanigliato,zucchero vanigliato,,zucchero vanigliato,zucchero vanigliato,26
1475,scorza di limone grattugiata,scorza di limone grattugiata,scorza di limone,,scorza di limone,scorza di limone,567
1476,300  g di farina 00,300  g di farina 00,farina,300 g,farina,farina,2121
1477,150 gr di farina,150 gr di farina,farina,150 gr,farina,farina,2121
1478,1 dl circa di acqua fredda,1 dl circa di acqua fredda,acqua,1 dl,acqua,acqua,1976
1479,125 gr di noci tritate,125 gr di noci tritate,noci,125 gr,noci,noci,222
1480,60 gr di mandorle tritate,60 gr di mandorle tritate,mandorle,60 gr,mandorle,mandorle,415
1481,60 gr di pinoli,60 gr di pinoli,pinoli,60 gr,pinoli,pinoli,392
1482,60 gr di cedro tritato,60 gr di cedro tritato,cedro,60 gr,cedro,cedro,11
1483,150 gr di cioccolato tritato,150 gr di cioccolato tritato,cioccolato,150 gr,cioccolato,cioccolato,105
1484,80 gr di zucchero,80 gr di zucchero,zucchero,80 gr,zucchero,zucchero,4949
1485,1/2 dl di vino di cipro,1/2 dl di vino di cipro,vino di cipro,1/2 dl,vino,vino,43
1486,1/2 dl di moscato,1/2 dl di moscato,moscato,1/2 dl,moscato,moscato,22
1487,2-3 cucchiai di maraschino,2-3 cucchiai di maraschino,maraschino,2 - 3 cucchiai,maraschino,maraschino,21
1488,1 cucchiaio di cointreau,1 cucchiaio di cointreau,cointreau,1 cucchiaio,cointreau,cointreau,10
1489,500 g di mandorle pelate o di farina di mandorle,500 g di mandorle pelate,mandorle pelate,500 g,mandorle pelate,mandorle pelate,146
1490,1 kg di zucchero,1 kg di zucchero,zucchero,1 kg,zucchero,zucchero,4949
1491,200 ml d’acqua,200 ml d’acqua,,200 ml,,,
1492,300 gr di sugna,300 gr di sugna,sugna,300 gr,sugna,sugna,4
1493,confettura di amarena,confettura di amarena,confettura di amarena,,confettura,confettura,46
1494,400 gr di pizzoccheri,400 gr di pizzoccheri,pizzoccheri,400 gr,pizzoccheri,pizzoccheri,1
1495,100 g di coste,100 g di coste,coste,100 g,costine di maiale,coste,2
1496,100 gr di verza,100 gr di verza,verza,100 gr,verza,verza,78
1497,50 gr di spinaci,50 gr di spinaci,spinaci,50 gr,spinaci,spinaci,245
1498,300 gr di fontina,300 gr di fontina,fontina,300 gr,fontina,fontina,155
1499,150 gr parmiggiano,150 gr parmiggiano,parmiggiano,150 gr,parmiggiano,parmigiano reggiano dop,1291
1500,2000gr di burro,2000gr di burro,burro,,burro,burro,4606
1501,150g di zucchero a velo,150g di zucchero,zucchero,150 g,zucchero,zucchero,4949
1502,50g di zucchero,50g di zucchero,zucchero,50 g,zucchero,zucchero,4949
1503,70g di fecola di patate,70g di fecola di patate,fecola di patate,70 g,fecola di patate,fecola di patate,233
1504,3g di lievito per dolci,3g di lievito,lievito,3 g,lievito,lievito,994
1505,100g di farina 00,100g di farina 00,farina,100 g,farina,farina,2121
1506,1/2 baccello di vaniglia bourbon,1/2 baccello di vaniglia bourbon,vaniglia bourbon,1/2 baccello,vaniglia,baccello di vaniglia,845
1507,2 tuorli d'uovo,2 tuorli d'uovo,tuorli,2,tuorli,tuorli,1385
1508,1 di uovo intero,1 di uovo intero,uovo intero,1,uovo,uova,3872
1509,scorza di limone,scorza di limone,scorza di limone,,scorza di limone,scorza di limone,567
1510,scorza d'arancia,scorza d'arancia,scorza d'arancia,,scorza d'arancia,buccia d'arancia,187
1511,4 granchi granciporri,4 granchi granciporri,granchi,4,granchio,granchio,14
1512,1 cipolla gialla,1 cipolla gialla,cipolla gialla,1,cipolla gialla,cipolla dorata,142
1513,1 cipolla bianca,1 cipolla bianca,cipolla bianca,1,cipolla bianca,cipolla bianca,310
1514,200 gr di fave,200 gr di fave,fave,200 gr,fave,fave,103
1515,200 gr di fagiolini,200 gr di fagiolini,fagiolini,200 gr,fagiolini,fagiolini,153
1516,100 gr di mais,100 gr di mais,mais,100 gr,mais,mais,31
1517,200 gr di piselli,200 gr di piselli,piselli,200 gr,piselli,piselli,302
1518,aceto di vino,aceto di vino,aceto di vino,,aceto di vino,aceto,528
1519,acini di pepe,acini di pepe,pepe,,pepe,pepe,5844
1520,2 pomodori maturi,2 pomodori maturi,pomodori,2,pomodori,pomodori,634
1521,200 gr di fagiolini lessati,200 gr di fagiolini lessati,fagiolini,200 gr,fagiolini,fagiolini,153
1522,200 gr di tonno sott'olio,200 gr di tonno sott'olio,tonno sott'olio,200 gr,tonno sott'olio,tonno sott'olio,121
1523,peperoncino q.b.,peperoncino q.b.,peperoncino,,peperoncino,peperoncino,468
1524,400 gr riso vialone,400 gr riso vialone,riso vialone,400 gr,riso,riso vialone nano,34
1525,400 gr zucca,400 gr zucca,zucca,400 gr,zucca,zucca,226
1526,grana grattugiato,grana grattugiato,grana,,grana,grana padano dop,591
1527,300 gr di formaggio,300 gr di formaggio,formaggio,300 gr,formaggio,formaggio,264
1528,50 gr di pangrattato,50 gr di pangrattato,pangrattato,50 gr,pangrattato,pangrattato,834
1529,passato di pomodoro,passato di pomodoro,passato di pomodoro,,passato di pomodoro,passata di pomodoro,374
1530,16 fiori di zucca,16 fiori di zucca,fiori di zucca,16,fiori di zucca,fiori di zucca,68
1531,40 g di pecorino,40 g di pecorino,pecorino,40 g,pecorino,pecorino,519
1532,350g di farina,350g di farina,farina,350 g,farina,farina,2121
1533,150g di burro,150g di burro,burro,150 g,burro,burro,4606
1534,100g di zucchero,100g di zucchero,zucchero,100 g,zucchero,zucchero,4949
1535,vaniglia in polvere,vaniglia,vaniglia,,vaniglia,baccello di vaniglia,845
1536,400g di ricotta,400g di ricotta,ricotta,400 g,ricotta,ricotta,324
1537,25 gr di lievito di birra,25 gr di lievito di birra,lievito di birra,25 gr,lievito di birra,lievito di birra,364
1538,100 gr d'olio,100 gr d'olio,olio,100 gr,olio,olio,2191
1539,100 gr di latte,100 gr di latte,latte,100 gr,latte,latte,2242
1540,1 pizzico di anice,1 pizzico di anice,anice,1 pizzico,anice,anice,9
1541,270 gr di semolino,270 gr di semolino,semolino,270 gr,semolino,semolino,56
1542,1 lt di brodo di carne,1 lt di brodo di carne,brodo di carne,1 lt,brodo di carne,brodo di carne,219
1543,80 gr di grana grattugiato,80 gr di grana grattugiato,grana,80 gr,grana,grana padano dop,591
1544,800 gr. di ricotta,800 gr. di ricotta,ricotta,800 gr,ricotta,ricotta,324
1545,100 gr. di cioccolato,100 gr. di cioccolato,cioccolato,100 gr .,cioccolato,cioccolato,105
1546,500 gr. di zucchero,500 gr. di zucchero,zucchero,500 gr,zucchero,zucchero,4949
1547,100 gr. di frutta candita,100 gr. di frutta candita,frutta candita,100 gr .,frutta candita,frutta candita,33
1548,pandispagna,pandispagna,pandispagna,,pandispagna,pan di spagna,30
1549,liquore dolce,liquore dolce,liquore dolce,,liquore,liquore,38
1550,ricotta salata grattugiata,ricotta salata grattugiata,ricotta salata,,ricotta salata,ricotta salata,36
1551,1/2 bicchierino di acqua aromatica ai fiori d'arancio,1/2 bicchierino di acqua aromatica ai fiori d'arancio,acqua aromatica ai fiori d'arancio,1/2 bicchierino,acqua,acqua di fiori d'arancio,27
1552,1/2 cucchiaio di semi di anice,1/2 cucchiaio di semi di anice,semi di anice,1/2 cucchiaio,semi di anice,semi,107
1553,600 gr di farina integrale,600 gr di farina integrale,farina integrale,600 gr,farina integrale,farina integrale,108
1554,300 gr di carne tritata di vitello,300 gr di carne tritata di vitello,carne di vitello,300 gr,carne di vitello,carne di bovino,492
1555,300 gr carne tritata di agnello,300 gr carne tritata di agnello,carne di agnello,300 gr,carne,carne di agnello,57
1556,300 gr di maiale,300 gr di maiale,maiale,300 gr,maiale,carne di suino,202
1557,1 sedano,1 sedano,sedano,1,sedano,sedano,796
1558,500 gr di pomodori,500 gr di pomodori,pomodori,500 gr,pomodori,pomodori,634
1559,farina 0,farina 0,farina 0,,farina 0,farina 0,181
1560,zenzero,zenzero,zenzero,,zenzero,zenzero,285
1561,200 g di nocciole sgusciate,200 g di nocciole sgusciate,nocciole,200 g,nocciole,nocciole,164
1562,300 g di zucchero a velo,300 g di zucchero,zucchero,300 g,zucchero,zucchero,4949
1563,albumi di 4 uova,albumi di 4 uova,albumi uova,4,uova,uova,3872
1564,scorza grattugiata di un limone,scorza grattugiata di un limone,limone,un,limone,limone,1394
1565,1 noce di burro,1 noce di burro,burro,1 noce,burro,burro,4606
1566,350 g di taglierini freschi,350 g di taglierini freschi,taglierini,350 g,taglierini,taglierini,10
1567,2 granceole di circa 800 gr,2 granceole,granceole,2,granceole,granceola,6
1568,1 bicchierino di brandy,1 bicchierino di brandy,brandy,1 bicchierino,brandy,brandy,122
1569,1 cipolla 1 costa di sedano,1 cipolla 1 costa di sedano,cipolla,1,cipolla,cipolla,1415
1570,20 g burro,20 g burro,burro,20 g,burro,burro,4606
1571,800 gr di capitone,800 gr di capitone,capitone,800 gr,capitone,capitone,3
1572,450 grammi di ceci,450 grammi di ceci,ceci,450 grammi,ceci,ceci secchi,72
1573,500 g di bietole,500 g di bietole,bietole,500 g,bietole,biete,64
1574,4 fette di pane casereccio abbrustolite,4 fette di pane casereccio abbrustolite,pane casereccio abbrustolite,4 fette,pane,pane casereccio,96
1575,2 kg di cozze,2 kg di cozze,cozze,2 kg,cozze,cozze,115
1576,800 gr di filetti di merluzzo,800 gr di filetti di merluzzo,filetti di merluzzo,800 gr,filetti di merluzzo,merluzzo,49
1577,brodo di pesce,brodo di pesce,brodo di pesce,,brodo di pesce,brodo di pesce,27
1578,500 gr di funghi porcini,500 gr di funghi porcini,funghi porcini,500 gr,funghi porcini,funghi porcini,107
1579,400 g di pomodorini,400 g di pomodorini,pomodorini,400 g,pomodorini,pomodorini,142
1580,"1,2 kg di costine di maiale","1,2 kg di costine di maiale",costine di maiale,"1,2 kg",costine di maiale,carne di suino,202
1581,2 cucchiai di farina gialla,2 cucchiai di farina gialla,farina gialla,2 cucchiai,farina gialla,farina gialla,68
1582,250 ml di brodo di carne,250 ml di brodo di carne,brodo di carne,250 ml,brodo di carne,brodo di carne,219
1583,130 ml di latte,130 ml di latte,latte,130 ml,latte,latte,2242
1584,250 gr di funghi,250 gr di funghi,funghi,250 gr,funghi,funghi,48
1585,300 gr di mozzarella,300 gr di mozzarella,mozzarella,300 gr,mozzarella,mozzarella,264
1586,1/2 kg di di farina bianca,1/2 kg di di farina bianca,farina bianca,1/2 kg,farina bianca,farina 00,1803
1587,2 rossi d'uovo,2 rossi d'uovo,uova,2,uova,uova,3872
1588,500 gr di pangrattato,500 gr di pangrattato,pangrattato,500 gr,pangrattato,pangrattato,834
1589,400 gr di parmigiano grattugiato,400 gr di parmigiano grattugiato,parmigiano,400 gr,parmigiano,parmigiano reggiano dop,1291
1590,500 g di farina di castagne,500 g di farina di castagne,farina di castagne,500 g,farina di castagne,farina di castagne,38
1591,50 dl di latte,50 dl di latte,latte,50 dl,latte,latte,2242
1592,1 kg di mandorle,1 kg di mandorle,mandorle,1 kg,mandorle,mandorle,415
1593,2 cucchiai di cacao amaro,2 cucchiai di cacao amaro,cacao amaro,2 cucchiai,cacao amaro,cacao amaro,524
