,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
8963,40 g di mandorle sgusciate,40 g di mandorle sgusciate,mandorle,40 g,mandorle,mandorle,mandorle,415,,,,,
8964,250 g di zucca,250 g di zucca,zucca,250 g,zucca,zucca,zucca,226,,,,,
8965,200 g di radicchio,200 g di radicchio,radicchio,200 g,radicchio,radicchio,radicchio,103,,,,,
8966,3 cucchiai di aceto balsamico,3 cucchiai di aceto balsamico,aceto balsamico,3 cucchiai,aceto balsamico,aceto balsamico,aceto balsamico,172,,,,,
8967,1 cucchiaino di paprika,1 cucchiaino di paprika,paprika,1 cucchiaino,paprika,paprika,paprika,272,,,,,
8968,600 g di funghi porcini,600 g di funghi porcini,funghi porcini,600 g,funghi porcini,funghi porcini,funghi porcini,107,,,,,
8969,400 g di fettine di vitello,400 g di fettine di vitello,vitello,400 g,vitello,vitello,carne di bovino,492,,,,,
8970,1 pera Kaiser,1 pera kaiser,pera kaiser,1,pera kaiser,pera,pere,111,,,,,
8971,1/2 bicchiere di acquavite d'uva,1/2 bicchiere di acquavite d'uva,acquavite d' uva,1/2 bicchiere,acquavite d'uva,acquavite d'uva,acquavite,3,,,,,
8972,220 g di cioccolato fondente 75%,220 g di cioccolato fondente 75%,cioccolato fondente 75 %,220 g,cioccolato fondente 75%,cioccolato fondente 75%,cioccolato fondente,833,,,,,
8973,170 g di burro,170 g di burro,burro,170 g,burro,burro,burro,4606,,,,,
8974,800 g di filetto di salmone,800 g di filetto di salmone,filetto di salmone,800 g,filetto di salmone,filetto di salmone,salmone,173,,,,,
8975,100 g di cornflakes non zuccherati,100 g di cornflakes,cornflakes,100 g,cornflakes,cornflakes,corn flakes,20,,,,,
8976,160 g di spaghetti alla chitarra,160 g di spaghetti alla chitarra,spaghetti alla chitarra,160 g,spaghetti alla chitarra,spaghetti alla chitarra,spaghetti alla chitarra,12,,,,,
8977,150 g di Polpa fine di pomodoro,150 g di polpa fine di pomodoro,polpa di pomodoro,150 g,pomodoro,pomodoro,pomodori,634,,,,,
8978,2 rotoli di pasta sfoglia rettangolari,2 rotoli di pasta sfoglia rettangolari,pasta sfoglia,2 rotoli,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
8979,130 g di prosciutto cotto a fette,130 g di prosciutto cotto,prosciutto cotto,130 g,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
8980,100 g di spinaci cotti e strizzati,100 g di spinaci cotti e strizzati,spinaci,100 g,spinaci,spinaci,spinaci,245,,,,,
8981,40 g di Gruyère,40 g di gruyère,gruyère,40 g,gruyère,gruyère,groviera,90,,,,,
8982,500gr di riso,500gr di riso,500gr di riso,,riso,riso,riso,289,,,,,
8983,650gr di acqua,650gr di acqua,650gr di acqua,,acqua,acqua,acqua,1976,,,,,
8984,70gr aceto di riso,70gr aceto di riso,aceto di riso,70gr,aceto di riso,aceto di riso,aceto di riso,29,,,,,
8985,450gr di salmone,450gr di salmone,salmone,450gr,salmone,salmone,salmone,173,,,,,
8986,Insalata gentile 10 foglie,insalata gentile 10 foglie,insalata,10 foglie,insalata,insalata,insalata,75,,,,,
8987,Daikon a julienne,daikon,daikon,,daikon,daikon,daikon,7,,,,,
8988,Formaggio fresco spalmabile,formaggio fresco spalmabile,formaggio fresco spalmabile,,formaggio fresco spalmabile,formaggio fresco spalmabile,philadelphia,134,,,,,
8989,Salsa guacamole,salsa guacamole,salsa guacamole,,salsa guacamole,salsa,guacamole,2,,,,,
8990,Salsa teriyaki,salsa teriyaki,salsa teriyaki,,salsa teriyaki,salsa teriyaki,salsa teriyaki,3,,,,,
8991,Maionese,maionese,maionese,,maionese,maionese,maionese,139,,,,,
8992,Uova di pesce,uova di pesce,uova di pesce,,uova di pesce,uova,uova di pesce,23,,,,,
8993,4 alghe nori,4 alghe nori,alghe nori,4,alghe nori,alghe nori,alga nori,31,,,,,
8994,500gr riso,500gr riso,500gr riso,,riso,riso,riso,289,,,,,
8995,650gr acqua,650gr acqua,acqua,650gr,acqua,acqua,acqua,1976,,,,,
8996,70 gr di aceto di riso,70 gr di aceto di riso,aceto di riso,70 gr,aceto di riso,aceto di riso,aceto di riso,29,,,,,
8997,Mango,mango,mango,,mango,mango,mango,61,,,,,
8998,Salsa piccante o peperoncino fresco,salsa piccante o peperoncino fresco,salsa piccante,,salsa piccante,salsa piccante,salsa piccante,4,,,,,
8999,Insalata gentile,insalata gentile,insalata,,insalata,insalata,insalata,75,,,,,
9000,Zucchine,zucchine,zucchine,,zucchine,zucchine,zucchine,654,,,,,
9001,Radicchio,radicchio,radicchio,,radicchio,radicchio,radicchio,103,,,,,
9002,Patata americana,patata americana,patata americana,,patata americana,patata,patate americane,23,,,,,
9003,Cetriolo,cetriolo,cetriolo,,cetriolo,cetriolo,cetrioli,121,,,,,
9004,Avocado,avocado,avocado,,avocado,avocado,avocado,136,,,,,
9005,600 g di bocconcini di suino,600 g di bocconcini di suino,bocconcini di suino,600 g,suino,suino,carne di suino,202,,,,,
9006,500 ml di birra scura ad alta fermentazione,500 ml di birra scura ad alta fermentazione,birra scura,500 ml,birra scura,birra scura,birra,103,,,,,
9007,5 cucchiai di olio evo,5 cucchiai di olio evo,olio evo,5 cucchiai,olio evo,olio evo,olio extravergine d'oliva,4337,,,,,
9008,farina per infarinare i bocconcini di maiale,farina,farina,,farina,farina,farina,2121,,,,,
9009,450 g di savoiardi Vicenzovo con farina macinata a pietra,450 g di savoiardi vicenzovo con farina macinata,savoiardi vicenzovo,450 g,savoiardi vicenzovo,savoiardi,savoiardi,82,,,,,
9010,130 g di burro fuso a temperatura ambiente,130 g di burro fuso,burro,130 g,burro,burro,burro,4606,,,,,
9011,80/100 g di cacao amaro in polvere,80/100 g di cacao amaro,cacao amaro,80/100 g,cacao amaro,cacao amaro,cacao amaro,524,,,,,
9012,50 g di pistacchi grossolanamente tritati,50 g di pistacchi grossolanamente tritati,pistacchi,50 g,pistacchi,pistacchi,pistacchi,193,,,,,
9013,"250 g di frutti di bosco (more,  mirtilli,  lamponi,  fragoline di bosco)",250 g di frutti di bosco,frutti di bosco,250 g,frutti di bosco,frutti di bosco,frutti di bosco,72,,,,,
9014,granella di pistacchi qb,granella di pistacchi qb,granella di pistacchi,qb,granella di pistacchi,granella di pistacchi,granella di pistacchi,70,,,,,
9015,100 g di fecola,100 g di fecola,fecola,100 g,fecola,fecola,fecola di patate,233,,,,,
9016,mezzo cucchiaino di sale,mezzo cucchiaino di sale,sale,mezzo cucchiaino,sale,sale,sale,9693,,,,,
9017,200 ml di latte fresco,200 ml di latte fresco,latte,200 ml,latte,latte,latte,2242,,,,,
9018,20 ml di rum,20 ml di rum,rum,20 ml,rum,rum,rum,218,,,,,
9019,9 g di gelatina in fogli,9 g di gelatina,gelatina,9 g,gelatina,gelatina,gelatina,429,,,,,
9020,200 g di confettura di fragoline o di frutti rossi poco zuccherata,200 g di confettura di fragoline o di frutti rossi poco zuccherata,confettura di fragoline,200 g,confettura di fragoline,confettura,confettura,46,,,,,
9021,10 g di zucchero a velo,10 g di zucchero,zucchero,10 g,zucchero,zucchero,zucchero,4949,,,,,
9022,50 g di mandorle tostate,50 g di mandorle tostate,mandorle tostate,50 g,mandorle tostate,mandorle tostate,mandorle tostate,9,,,,,
9023,50 g di basilico fresco,50 g di basilico fresco,basilico,50 g,basilico,basilico,basilico,944,,,,,
9024,100 ml di olio extravergine di oliva,100 ml di olio extravergine di oliva,olio extravergine di oliva,100 ml,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
9025,100 g di farina di grano Senatore Cappelli,100 g di farina di grano senatore cappelli,farina di grano senatore cappelli,100 g,farina di grano senatore cappelli,farina,farina,2121,,,,,
9026,100g circa d'acqua molto calda,100g circa d'acqua molto calda,d' acqua,100 g,acqua,acqua,acqua,1976,,,,,
9027,300 g di carote pulite,300 g di carote pulite,carote pulite,300 g,carote,carote,carote,1077,,,,,
9028,250 g di nocciole tostate,250 g di nocciole tostate,nocciole tostate,250 g,nocciole tostate,nocciole tostate,nocciole tostate,45,,,,,
9029,240 g di zucchero di canna,240 g di zucchero di canna,zucchero di canna,240 g,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
9030,100 g di farina integrale,100 g di farina integrale,farina integrale,100 g,farina integrale,farina integrale,farina integrale,108,,,,,
9031,1 busta di cremor tartaro,1 busta di cremor tartaro,cremor tartaro,1 busta,cremor tartaro,cremor tartaro,cremor tartaro,30,,,,,
9032,1 punta di bicarbonato,1 punta di bicarbonato,bicarbonato,1 punta,bicarbonato,bicarbonato,bicarbonato,142,,,,,
9033,1 arancia non trattata.,1 arancia,arancia,1,arancia,arancia,arance,358,,,,,
9034,1 fetta di tonno di circa 300 g,1 fetta di tonno,tonno,1 fetta,tonno,tonno,tonno,101,,,,,
9035,5 arance da spremuta,5 arance da spremuta,arance da spremuta,5,arance da spremuta,arance,arance,358,,,,,
9036,1 cipolla bionda intera di media grandezza,1 cipolla bionda intera di media grandezza,cipolla bionda di,1,cipolla bionda,cipolla bionda,cipolla dorata,142,,,,,
9037,semi di sesamo bianco,semi di sesamo bianco,semi di sesamo,,semi di sesamo,semi di sesamo,semi di sesamo,132,,,,,
9038,erba cipollina (per guarnire),erba cipollina,erba cipollina,,erba cipollina,erba cipollina,erba cipollina,367,,,,,
9039,220 g di farina 00,220 g di farina 00,farina,220 g,farina,farina,farina,2121,,,,,
9040,130 g di zucchero di canna demerara,130 g di zucchero di canna demerara,zucchero di canna,130 g,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
9041,1 cucchiaio di liquore all'amaretto,1 cucchiaio di liquore all'amaretto,liquore all' amaretto,1 cucchiaio,liquore all'amaretto,liquore,liquore,38,,,,,
9042,zucchero di canna per la finitura,zucchero di canna,zucchero di canna,,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
9043,una manciata di lamponi,una manciata di lamponi,lamponi,una manciata,lamponi,lamponi,lamponi,214,,,,,
9044,1 rotolo di pasta da pizza già pronta,1 rotolo di pasta da pizza,pasta,1 rotolo,pasta,pasta,pasta,78,,,,,
9045,70 g di passata di pomodoro,70 g di passata di pomodoro,passata di pomodoro,70 g,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
9046,3 dischi di meringa del diametro di 18 centimetri ognuno (si comperano in pasticceria),3 dischi di meringa del diametro di 18 centimetri ognuno,meringa centimetri ognuno,3 dischi,meringa,meringhe,meringhe,28,,,,,
9047,140 g di farina di nocciole,140 g di farina di nocciole,farina di nocciole,140 g,farina di nocciole,farina di nocciole,farina di nocciole,53,,,,,
9048,350 g di ricotta di pecora,350 g di ricotta di pecora,ricotta di pecora,350 g,ricotta di pecora,ricotta di pecora,ricotta di pecora,63,,,,,
9049,300 g di pere,300 g di pere,pere,300 g,pere,pere,pere,111,,,,,
9050,15 g di distillato di pere,15 g di distillato di pere,distillato di pere,15 g,distillato di pere,distillato di pere,distillato,2,,,,,
9051,5 g di amido di mais,5 g di amido di mais,amido di mais,5 g,amido di mais,amido di mais,amido di mais,322,,,,,
9052,230 g di biscotti tipo Digestive,230 g di biscotti tipo digestive,biscotti tipo digestive,230 g,biscotti tipo digestive,biscotti tipo digestive,biscotti digestive,69,,,,,
9053,60 g di burro fuso a temperatura ambiente,60 g di burro fuso,burro,60 g,burro,burro,burro,4606,,,,,
9054,300 g di ricotta asciutta,300 g di ricotta asciutta,ricotta asciutta,300 g,ricotta asciutta,ricotta asciutta,ricotta,324,,,,,
9055,3-4 cucchiai di zucchero a velo,3-4 cucchiai di zucchero,zucchero,3 - 4 cucchiai,zucchero,zucchero,zucchero,4949,,,,,
9056,"frutti rossi a piacere (fragole,  lamponi,  more,  mirtilli e ribes)",frutti rossi,frutti rossi,,frutti rossi,frutti della passione,frutti rossi,10,,,,,
9057,cioccolato fondente grattugiato,cioccolato fondente grattugiato,cioccolato fondente,,cioccolato fondente,cioccolato fondente,cioccolato fondente,833,,,,,
9058,250 g di pane tipo ciabatta,250 g di pane tipo ciabatta,pane tipo ciabatta,250 g,pane tipo ciabatta,pane,pane,363,,,,,
9059,100 g di besciamella,100 g di besciamella,besciamella,100 g,besciamella,besciamella,besciamella,110,,,,,
9060,200 g di mozzarella fiordilatte,200 g di mozzarella fiordilatte,mozzarella fiordilatte,200 g,mozzarella fiordilatte,mozzarella fiordilatte,mozzarella fiordilatte,53,,,,,
9061,30 g di scamorza affumicata,30 g di scamorza affumicata,scamorza affumicata,30 g,scamorza affumicata,scamorza affumicata,scamorza affumicata,58,,,,,
9062,2 rotoli di pasta sfoglia rotonda,2 rotoli di pasta sfoglia rotonda,pasta sfoglia rotonda,2 rotoli,pasta sfoglia rotonda,pasta,pasta sfoglia,239,,,,,
9063,speck,speck,speck,,speck,speck,speck,139,,,,,
9064,uovo,uovo,uovo,,uovo,uovo,uova,3872,,,,,
9065,200 - 250 g di zucca già pulita,200 - 250 g di zucca,zucca,200 - 250 g,zucca,zucca,zucca,226,,,,,
9066,3 cucchiai di zucchero di canna bianco,3 cucchiai di zucchero di canna bianco,zucchero di canna bianco,3 cucchiai,zucchero di canna bianco,zucchero,zucchero di canna,547,,,,,
9067,10 ml di latte,10 ml di latte,latte,10 ml,latte,latte,latte,2242,,,,,
9068,sciroppo d'acero,sciroppo d'acero,sciroppo d' acero,,sciroppo d'acero,sciroppo d'acero,sciroppo d'acero,32,,,,,
9069,250 g di farina per frolla o tipo 0,250 g di farina,farina,250 g,farina,farina,farina,2121,,,,,
9070,50 g di nocciole Piemonte,50 g di nocciole piemonte,nocciole,50 g,nocciole,nocciole,nocciole,164,,,,,
9071,100 g di cioccolato gianduia,100 g di cioccolato gianduia,cioccolato gianduia,100 g,cioccolato gianduia,cioccolato gianduia,cioccolato gianduia,20,,,,,
9072,120 ml di latte fresco intero,120 ml di latte fresco intero,latte intero,120 ml,latte,latte,latte,2242,,,,,
9073,120 ml di panna fresca liquida,120 ml di panna fresca liquida,panna fresca liquida,120 ml,panna fresca liquida,panna fresca liquida,panna fresca,1860,,,,,
9074,100 g di albumi a temperatura ambiente (i tre avanzati dalle altre preparazioni),100 g di albumi,albumi,100 g,albumi,albumi,albumi,436,,,,,
9075,200 g di cioccolato fondente al 65%,200 g di cioccolato fondente al 65%,cioccolato fondente al 65 %,200 g,cioccolato fondente al 65%,cioccolato,cioccolato fondente,833,,,,,
9076,1 l di vino rosso corposo,1 l di vino rosso corposo,vino rosso corposo,1 l,vino rosso corposo,vino,vino rosso,219,,,,,
9077,mezza arancia bio piccola,mezza arancia bio piccola,arancia,mezza,arancia,arancia,arance,358,,,,,
9078,mezzo limone bio,mezzo limone bio,limone,mezzo,limone,limone,limone,1394,,,,,
9079,1 piccola mela rossa bio,1 piccola mela rossa bio,mela,1,mela,mela,mele,204,,,,,
9080,mezza noce moscata grattugiata,mezza noce moscata grattugiata,moscata,mezza noce,,,,,,,,,
9081,8 chiodi di garofano,8 chiodi di garofano,chiodi di garofano,8,chiodi di garofano,chiodi di garofano,chiodi di garofano,180,,,,,
9082,2 pezzi di anice stellato,2 pezzi di anice stellato,pezzi di anice stellato,2,anice stellato,anice stellato,anice stellato,21,,,,,
9083,2 stecche di cannella,2 stecche di cannella,cannella,2 stecche,cannella,cannella,cannella,499,,,,,
9084,100 g di zucchero di canna più quello per gli stampi,100 g di zucchero di canna,zucchero di canna,100 g,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
9085,140 g di farina 00,140 g di farina 00,farina,140 g,farina,farina,farina,2121,,,,,
9086,50 g di cocco grattugiato disidratato,50 g di cocco grattugiato disidratato,cocco disidratato,50 g,cocco disidratato,cocco disidratato,cocco disidratato,43,,,,,
9087,100 g di uova (2 uova medie),100 g di uova,uova,100 g,uova,uova,uova,3872,,,,,
9088,350 g di crema pasticciera,350 g di crema pasticciera,crema pasticciera,350 g,crema pasticciera,crema pasticciera,crema pasticcera,65,,,,,
9089,amarene sciroppate,amarene sciroppate,amarene sciroppate,,amarene sciroppate,amarene sciroppate,amarene,47,,,,,
9090,½ bacca di vaniglia Bourbon,1/2 bacca di vaniglia bourbon,vaniglia bourbon,1/2 bacca,vaniglia bourbon,vaniglia,baccello di vaniglia,845,,,,,
9091,50g Parmigiano Reggiano,50g parmigiano reggiano,parmigiano reggiano,50 g,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
9092,pangrattato.,pangrattato.,,,,,,,,,,,
9093,70 ml di olio di semi,70 ml di olio di semi,olio di semi,70 ml,olio di semi,olio di semi,olio di semi,323,,,,,
9094,125 g di mirtilli,125 g di mirtilli,mirtilli,125 g,mirtilli,mirtilli,mirtilli,144,,,,,
9095,1 cucchiaino e mezzo di lievito per dolci,1 cucchiaino e mezzo di lievito,lievito,1 cucchiaino e mezzo,lievito,lievito,lievito,994,,,,,
9096,sciroppo d'acero per servire,sciroppo d'acero,sciroppo d' acero,,sciroppo d'acero,sciroppo d'acero,sciroppo d'acero,32,,,,,
9097,1 kg di cicoria,1 kg di cicoria,cicoria,1 kg,cicoria,cicoria,cicoria,37,,,,,
9098,1 broccolo medio,1 broccolo medio,broccolo,1,broccolo,broccolo,broccoli,95,,,,,
9099,1 o 2 carote,1 o 2 carote,carote,1 o 2,carote,carote,carote,1077,,,,,
9100,1 pezzetto di zenzero,1 pezzetto di zenzero,zenzero,1 pezzetto,zenzero,zenzero,zenzero,285,,,,,
9101,4 cucchiai di olio extravergine d'oliva,4 cucchiai di olio extravergine d'oliva,olio extravergine d' oliva,4 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,4337,,,,,
9102,50 ml di vodka,50 ml di vodka,vodka,50 ml,vodka,vodka,vodka,26,,,,,
9103,20 ml di liquore al caffè,20 ml di liquore al caffè,liquore al caffè,20 ml,liquore al caffè,liquore,liquore,38,,,,,
9104,Top di panna liquida,top di panna liquida,top di panna liquida,,panna,panna,panna fresca,1860,,,,,
9105,150 g di ceci secchi,150 g di ceci secchi,ceci secchi,150 g,ceci secchi,ceci secchi,ceci secchi,72,,,,,
9106,1 cipolla bionda piccola,1 cipolla bionda piccola,cipolla bionda,1,cipolla bionda,cipolla bionda,cipolla dorata,142,,,,,
9107,4 pomodori pelati tagliati a pezzetti,4 pomodori pelati tagliati,pomodori pelati,4,pomodori pelati,pomodori pelati,pomodori pelati,196,,,,,
9108,1 cucchiaino di paprica affumicata,1 cucchiaino di paprica affumicata,paprica affumicata,1 cucchiaino,paprica affumicata,paprica,paprika,272,,,,,
9109,150 g di castagne lessate e pelate,150 g di castagne lessate e pelate,castagne,150 g,castagne,castagne,castagne,56,,,,,
9110,4 fette di pane toscano,4 fette di pane toscano,pane toscano,4 fette,pane toscano,pane toscano,pane toscano,26,,,,,
9111,30 g di pecorino toscano stagionato,30 g di pecorino toscano stagionato,pecorino toscano stagionato,30 g,pecorino toscano stagionato,pecorino,pecorino,519,,,,,
9112,2 baguette piccole,2 baguette piccole,baguette,2,baguette,baguette,baguette,23,,,,,
9113,2 pomodori tondi rossi,2 pomodori tondi rossi,pomodori tondi rossi,2,pomodori tondi rossi,pomodori,pomodori,634,,,,,
9114,origano secco biologico,origano secco biologico,origano secco,,origano secco,origano secco,origano,397,,,,,
9115,1 disco di pasta sfoglia,1 disco di pasta sfoglia,pasta sfoglia,1 disco,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
9116,pomodori secchi,pomodori secchi,pomodori secchi,,pomodori secchi,pomodori secchi,pomodori secchi,141,,,,,
9117,caciocavallo,caciocavallo,caciocavallo,,caciocavallo,caciocavallo,caciocavallo,87,,,,,
9118,200 g di Amaretti,200 g di amaretti,amaretti,200 g,amaretti,amaretti,amaretti,104,,,,,
9119,250 ml di latte intero a temperatura ambiente,250 ml di latte intero,latte intero,250 ml,latte,latte,latte,2242,,,,,
9120,2 uova intere a temperatura ambiente,2 uova intere,uova intere,2,uova intere,uova intere,uova,3872,,,,,
9121,250 g di farina manitoba,250 g di farina manitoba,farina manitoba,250 g,farina manitoba,farina manitoba,farina manitoba,233,,,,,
9122,200 g di latte intero,200 g di latte intero,latte intero,200 g,latte,latte,latte,2242,,,,,
9123,zucchero a velo per spolverizzare,zucchero,zucchero,,zucchero,zucchero,zucchero,4949,,,,,
9124,40 g di gherigli di noce spellati,40 g di gherigli di noce spellati,noce spellati,40 g,noce spellati,noce,noci,222,,,,,
9125,1 tazza di tè forte,1 tazza di tè forte,forte,1 tazza tè,,,,,,,,,
